,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Puerto Ayora,20,EC,1584796244,94,-0.74,-90.35,78.01,5.82
1,Necochea,0,AR,1584796538,69,-38.55,-58.74,73.0,10.0
2,Constitución,100,CL,1584796252,81,-35.33,-72.42,55.31,10.13
3,Ushuaia,100,AR,1584796206,87,-54.8,-68.3,42.8,4.7
4,Hilo,90,US,1584796245,83,19.73,-155.09,71.6,6.93
5,Santa Maria,20,BR,1584796212,77,-29.68,-53.81,69.8,3.36
6,Kapaa,90,US,1584796233,88,22.08,-159.32,75.2,5.82
7,Rabo de Peixe,75,PT,1584796606,71,37.8,-25.58,57.2,17.22
8,Ahipara,91,NZ,1584796222,85,-35.17,173.17,67.01,10.94
9,Bluff,91,NZ,1584796196,95,-46.6,168.33,51.01,1.01
10,Mahébourg,40,MU,1584796197,61,-20.41,57.7,82.4,6.93
11,Tezpur,73,IN,1584796607,35,26.63,92.8,78.35,3.87
12,Torbay,90,CA,1584796248,100,47.67,-52.73,43.0,31.09
13,Portland,1,US,1584796598,75,45.52,-122.68,43.0,1.32
14,Qaanaaq,29,GL,1584796224,59,77.48,-69.36,-10.21,5.06
15,Berlevåg,100,NO,1584796609,69,70.86,29.09,32.99,25.84
16,Hermanus,0,ZA,1584796214,67,-34.42,19.23,80.01,5.01
17,Beloha,55,MG,1584796314,45,-25.17,45.05,88.61,5.57
18,Rovaniemi,0,FI,1584796610,42,66.5,25.72,26.6,9.17
19,Arraial do Cabo,75,BR,1584796306,83,-22.97,-42.03,75.2,6.93
20,Ribeira Grande,40,PT,1584796264,54,38.52,-28.7,59.0,19.46
21,Yellowknife,90,CA,1584796098,73,62.46,-114.35,19.99,5.82
22,Busselton,28,AU,1584796222,45,-33.65,115.33,66.0,18.72
23,Saint-Philippe,20,RE,1584796272,65,-21.36,55.77,80.6,23.04
24,‘Āhuimanu,1,US,1584796612,83,21.44,-157.84,75.2,2.64
25,Tuktoyaktuk,97,CA,1584796261,81,69.45,-133.04,23.27,17.29
26,Mataura,65,NZ,1584796197,95,-46.19,168.86,51.01,1.01
27,Albany,40,US,1584795944,47,42.6,-73.97,37.4,13.87
28,Maiduguri,6,NG,1584796614,6,11.85,13.16,103.55,8.9
29,Tilichiki,100,RU,1584796271,92,60.47,166.1,12.83,8.12
30,Rikitea,51,PF,1584796190,80,-23.12,-134.97,78.35,11.9
31,Dakar,97,SN,1584796156,17,14.69,-17.44,91.4,10.29
32,Carballo,75,ES,1584796616,82,43.21,-8.69,59.0,5.82
33,Imbituba,0,BR,1584796229,56,-28.24,-48.67,73.4,3.36
34,Wadi Maliz,40,TN,1584796616,87,36.47,8.55,55.4,9.17
35,Cherskiy,0,RU,1584796305,83,68.75,161.3,-8.59,9.53
36,Hong Kong,40,HK,1584796176,88,22.29,114.16,75.99,10.29
37,Port Alfred,0,ZA,1584796247,79,-33.59,26.89,73.0,1.99
38,George Town,20,MY,1584796279,58,5.41,100.34,86.0,3.36
39,Jinan,100,CN,1584796619,45,36.67,117.0,60.01,1.01
40,Lavrentiya,6,RU,1584796360,85,65.58,-171.0,14.09,8.48
41,Geraldton,0,AU,1584796322,83,-28.77,114.6,73.4,8.05
42,North Battleford,1,CA,1584796400,92,52.78,-108.28,10.99,10.29
43,Clyde River,90,CA,1584796620,70,70.47,-68.59,-5.8,4.7
44,Mīzan Teferī,98,ET,1584796621,42,6.98,35.58,84.47,3.47
